1,MARY,SMITH
2,PATRICIA,JOHNSON
3,LINDA,WILLIAMS
4,BARBARA,JONES
5,ELIZABETH,BROWN
6,JENNIFER,DAVIS
7,MARIA,MILLER
8,SUSAN,WILSON
9,MARGARET,MOORE
10,DOROTHY,TAYLOR
11,LISA,ANDERSON
12,NANCY,THOMAS
13,KAREN,JACKSON
14,BETTY,WHITE
15,HELEN,HARRIS
16,SANDRA,MARTIN
17,DONNA,THOMPSON
18,CAROL,GARCIA
19,RUTH,MARTINEZ
20,SHARON,ROBINSON
21,MICHELLE,CLARK
22,LAURA,RODRIGUEZ
23,SARAH,LEWIS
24,KIMBERLY,LEE
25,DEBORAH,WALKER
26,JESSICA,HALL
27,SHIRLEY,ALLEN
28,CYNTHIA,YOUNG
29,ANGELA,HERNANDEZ
30,MELISSA,KING
31,BRENDA,WRIGHT
32,AMY,LOPEZ
33,ANNA,HILL
34,REBECCA,SCOTT
35,VIRGINIA,GREEN
36,KATHLEEN,ADAMS
37,PAMELA,BAKER
38,MARTHA,GONZALEZ
39,DEBRA,NELSON
40,AMANDA,CARTER
41,STEPHANIE,MITCHELL
42,CAROLYN,PEREZ
43,CHRISTINE,ROBERTS
44,MARIE,TURNER
45,JANET,PHILLIPS
46,CATHERINE,CAMPBELL
47,FRANCES,PARKER
48,ANN,EVANS
49,JOYCE,EDWARDS
50,DIANE,COLLINS
51,ALICE,STEWART
52,JULIE,SANCHEZ
53,HEATHER,MORRIS
54,TERESA,ROGERS
55,DORIS,REED
56,GLORIA,COOK
57,EVELYN,MORGAN
58,JEAN,BELL
59,CHERYL,MURPHY
60,MILDRED,BAILEY
61,KATHERINE,RIVERA
62,JOAN,COOPER
63,ASHLEY,RICHARDSON
64,JUDITH,COX
65,ROSE,HOWARD
66,JANICE,WARD
67,KELLY,TORRES
68,NICOLE,PETERSON
69,JUDY,GRAY
70,CHRISTINA,RAMIREZ
71,KATHY,JAMES
72,THERESA,WATSON
73,BEVERLY,BROOKS
74,DENISE,KELLY
75,TAMMY,SANDERS
76,IRENE,PRICE
77,JANE,BENNETT
78,LORI,WOOD
79,RACHEL,BARNES
80,MARILYN,ROSS
81,ANDREA,HENDERSON
82,KATHRYN,COLEMAN
83,LOUISE,JENKINS
84,SARA,PERRY
85,ANNE,POWELL
86,JACQUELINE,LONG
87,WANDA,PATTERSON
88,BONNIE,HUGHES
89,JULIA,FLORES
90,RUBY,WASHINGTON
91,LOIS,BUTLER
92,TINA,SIMMONS
93,PHYLLIS,FOSTER
94,NORMA,GONZALES
95,PAULA,BRYANT
96,DIANA,ALEXANDER
97,ANNIE,RUSSELL
98,LILLIAN,GRIFFIN
99,EMILY,DIAZ
100,ROBIN,HAYES
101,PEGGY,MYERS
102,CRYSTAL,FORD
103,GLADYS,HAMILTON
104,RITA,GRAHAM
105,DAWN,SULLIVAN
106,CONNIE,WALLACE
107,FLORENCE,WOODS
108,TRACY,COLE
109,EDNA,WEST
110,TIFFANY,JORDAN
111,CARMEN,OWENS
112,ROSA,REYNOLDS
113,CINDY,FISHER
114,GRACE,ELLIS
115,WENDY,HARRISON
116,VICTORIA,GIBSON
117,EDITH,MCDONALD
118,KIM,CRUZ
119,SHERRY,MARSHALL
120,SYLVIA,ORTIZ
121,JOSEPHINE,GOMEZ
122,THELMA,MURRAY
123,SHANNON,FREEMAN
124,SHEILA,WELLS
125,ETHEL,WEBB
126,ELLEN,SIMPSON
127,ELAINE,STEVENS
128,MARJORIE,TUCKER
129,CARRIE,PORTER
130,CHARLOTTE,HUNTER
131,MONICA,HICKS
132,ESTHER,CRAWFORD
133,PAULINE,HENRY
134,EMMA,BOYD
135,JUANITA,MASON
136,ANITA,MORALES
137,RHONDA,KENNEDY
138,HAZEL,WARREN
139,AMBER,DIXON
140,EVA,RAMOS
141,DEBBIE,REYES
142,APRIL,BURNS
143,LESLIE,GORDON
144,CLARA,SHAW
145,LUCILLE,HOLMES
146,JAMIE,RICE
147,JOANNE,ROBERTSON
148,ELEANOR,HUNT
149,VALERIE,BLACK
150,DANIELLE,DANIELS
151,MEGAN,PALMER
152,ALICIA,MILLS
153,SUZANNE,NICHOLS
154,MICHELE,GRANT
155,GAIL,KNIGHT
156,BERTHA,FERGUSON
157,DARLENE,ROSE
158,VERONICA,STONE
159,JILL,HAWKINS
160,ERIN,DUNN
161,GERALDINE,PERKINS
162,LAUREN,HUDSON
163,CATHY,SPENCER
164,JOANN,GARDNER
165,LORRAINE,STEPHENS
166,LYNN,PAYNE
167,SALLY,PIERCE
168,REGINA,BERRY
169,ERICA,MATTHEWS
170,BEATRICE,ARNOLD
171,DOLORES,WAGNER
172,BERNICE,WILLIS
173,AUDREY,RAY
174,YVONNE,WATKINS
175,ANNETTE,OLSON
176,JUNE,CARROLL
177,SAMANTHA,DUNCAN
178,MARION,SNYDER
179,DANA,HART
180,STACY,CUNNINGHAM
181,ANA,BRADLEY
182,RENEE,LANE
183,IDA,ANDREWS
184,VIVIAN,RUIZ
185,ROBERTA,HARPER
186,HOLLY,FOX
187,BRITTANY,RILEY
188,MELANIE,ARMSTRONG
189,LORETTA,CARPENTER
190,YOLANDA,WEAVER
191,JEANETTE,GREENE
192,LAURIE,LAWRENCE
193,KATIE,ELLIOTT
194,KRISTEN,CHAVEZ
195,VANESSA,SIMS
196,ALMA,AUSTIN
197,SUE,PETERS
198,ELSIE,KELLEY
199,BETH,FRANKLIN
200,JEANNE,LAWSON
201,VICKI,FIELDS
202,CARLA,GUTIERREZ
203,TARA,RYAN
204,ROSEMARY,SCHMIDT
205,EILEEN,CARR
206,TERRI,VASQUEZ
207,GERTRUDE,CASTILLO
208,LUCY,WHEELER
209,TONYA,CHAPMAN
210,ELLA,OLIVER
211,STACEY,MONTGOMERY
212,WILMA,RICHARDS
213,GINA,WILLIAMSON
214,KRISTIN,JOHNSTON
215,JESSIE,BANKS
216,NATALIE,MEYER
217,AGNES,BISHOP
218,VERA,MCCOY
219,WILLIE,HOWELL
220,CHARLENE,ALVAREZ
221,BESSIE,MORRISON
222,DELORES,HANSEN
223,MELINDA,FERNANDEZ
224,PEARL,GARZA
225,ARLENE,HARVEY
226,MAUREEN,LITTLE
227,COLLEEN,BURTON
228,ALLISON,STANLEY
229,TAMARA,NGUYEN
230,JOY,GEORGE
231,GEORGIA,JACOBS
232,CONSTANCE,REID
233,LILLIE,KIM
234,CLAUDIA,FULLER
235,JACKIE,LYNCH
236,MARCIA,DEAN
237,TANYA,GILBERT
238,NELLIE,GARRETT
239,MINNIE,ROMERO
240,MARLENE,WELCH
241,HEIDI,LARSON
242,GLENDA,FRAZIER
243,LYDIA,BURKE
244,VIOLA,HANSON
245,COURTNEY,DAY
246,MARIAN,MENDOZA
247,STELLA,MORENO
248,CAROLINE,BOWMAN
249,DORA,MEDINA
250,JO,FOWLER
251,VICKIE,BREWER
252,MATTIE,HOFFMAN
253,TERRY,CARLSON
254,MAXINE,SILVA
255,IRMA,PEARSON
256,MABEL,HOLLAND
257,MARSHA,DOUGLAS
